CAGL0B00220g CAGL0B00242g
ZYRO0D08140g ZYRO0D08162g
ZYRO0D09372g Zrou_YGOB_Anc_7.141
ZYRO0D10120g ZYRO0D10142g
ZYRO0D12650g ZYRO0D12672g
ZYRO0D12826g ZYRO0D12848g
ZYRO0D13882g ZYRO0D13904g
ZYRO0D17226g ZYRO0D17248g
ZYRO0E06512g ZYRO0E06534g
ZYRO0F04994g ZYRO0F05016g
ZYRO0F06556g ZYRO0F06578g
ZYRO0F07722g ZYRO0F07744g
Zrou_YGOB_F08580 ZYRO0F08580g
ZYRO0F12562g Zrou_YGOB_F12562
ZYRO0F15840g ZYRO0F15862g
ZYRO0G02662g ZYRO0G02684g
ZYRO0G03080g ZYRO0G03102g
ZYRO0G04664g ZYRO0G04686g
ZYRO0G05368g ZYRO0G05390g
ZYRO0G05522g ZYRO0G05544g
ZYRO0G07546g ZYRO0G07568g
ZYRO0G08426g ZYRO0G08448g
ZYRO0G10934g ZYRO0G10956g
ZYRO0G11286g ZYRO0G11308g
ZYRO0G20064g ZYRO0G20086g
ZYRO0G22528g ZYRO0G22550g
