#Species	Gene_1	Ext_1	Species	Gene_2	Ext_2	Weight
node_2	1805_47305	t	node_2	2204_84828	t	1
Lkluyveri	1805_47304	t	Lkluyveri	2204_84827	t	1
Lthermotolerans	1805_47303	t	Lthermotolerans	2204_84826	t	1
node_1	1805_47302	t	node_1	2204_84825	t	1
Knaganishii	551_183893	h	Knaganishii	552_184180	t	1
Cglabrata	551_183888	h	Cglabrata	552_184175	t	1
Ndairenensis	551_183881	h	Ndairenensis	552_184183	t	1
Kafricana	551_183878	h	Kafricana	552_184179	t	1
Tblattae	551_183866	h	Tblattae	552_184186	t	1
Scerevisiae	551_183863	h	Scerevisiae	552_184176	t	1
Tphaffii	538_85364	t	Tphaffii	1907_172200	h	1
Ncastellii	538_85348	t	Ncastellii	1907_172197	h	1
Zrouxii	538_85339	t	Zrouxii	1907_172185	h	1
Lthermotolerans	538_85319	t	Lthermotolerans	1907_172155	h	1
Tblattae	454_128050	t	Tblattae	1650_76658	h	1
Tdelbrueckii	454_128033	t	Tdelbrueckii	1650_76643	h	1
Zrouxii	454_128032	t	Zrouxii	1650_76642	h	1
Klactis	454_128029	t	Klactis	1650_76639	h	1
Egossypii	454_128028	t	Egossypii	1650_76638	h	1
Ecymbalariae	454_128027	t	Ecymbalariae	1650_76637	h	1
node_3	454_128026	t	node_3	1650_76636	h	1
node_2	454_128025	t	node_2	1650_76635	h	1
Lkluyveri	454_128024	t	Lkluyveri	1650_76634	h	1
Lthermotolerans	454_128023	t	Lthermotolerans	1650_76633	h	1
node_1	454_128022	t	node_1	1650_76632	h	1
Cglabrata	1088_89227	h	Cglabrata	1803_96429	t	1
Tphaffii	209_111260	h	Tphaffii	210_231361	t	1
Ndairenensis	209_111258	h	Ndairenensis	210_231359	t	1
Ncastellii	209_111257	h	Ncastellii	210_231358	t	1
Knaganishii	209_111249	h	Knaganishii	210_231343	t	1
Kafricana	209_111248	h	Kafricana	210_231356	t	1
Cglabrata	209_111244	h	Cglabrata	210_231338	t	1
Tdelbrueckii	209_111238	h	Tdelbrueckii	210_231347	t	1
Zrouxii	209_111237	h	Zrouxii	210_231346	t	1
Klactis	209_111234	h	Klactis	210_231329	t	1
Egossypii	209_111233	h	Egossypii	210_231328	t	1
Ecymbalariae	209_111232	h	Ecymbalariae	210_231327	t	1
node_3	209_111231	h	node_3	210_231326	t	1
node_2	209_111230	h	node_2	210_231325	t	1
Lkluyveri	209_111229	h	Lkluyveri	210_231324	t	1
Lthermotolerans	209_111228	h	Lthermotolerans	210_231323	t	1
node_1	209_111227	h	node_1	210_231322	t	1
node_0	209_111226	h	node_0	210_231321	t	1
Tphaffii	3423_20664	t	Tphaffii	3427_88251	t	1
Cglabrata	1799_217387	t	Cglabrata	3053_210074	h	1
Tblattae	4156_145797	h	Tblattae	4969_173627	h	1
Kafricana	3571_60801	h	Kafricana	3572_180159	t	1
Ndairenensis	3571_60783	h	Ndairenensis	3572_180163	t	1
Ncastellii	3571_60782	h	Ncastellii	3572_180162	t	1
Knaganishii	3571_60780	h	Knaganishii	3572_180160	t	1
Cglabrata	3571_60775	h	Cglabrata	3572_180155	t	1
Knaganishii	2889_169650	h	Knaganishii	2891_97368	t	1
Cglabrata	2889_169645	h	Cglabrata	2891_97424	t	1
Kafricana	1686_180896	t	Kafricana	1691_142784	h	1
Tdelbrueckii	1686_180888	t	Tdelbrueckii	1691_142775	h	1
Ndairenensis	1686_180882	t	Ndairenensis	1691_142771	h	1
Ncastellii	1686_180881	t	Ncastellii	1691_142770	h	1
node_11	1686_180880	t	node_11	1691_142769	h	1
Scerevisiae	1686_180877	t	Scerevisiae	1691_142764	h	1
Klactis	1686_180869	t	Klactis	1691_142755	h	1
Knaganishii	1686_180858	t	Knaganishii	1691_142768	h	1
Lkluyveri	1686_180845	t	Lkluyveri	1691_142752	h	1
Scerevisiae	3376_219061	t	Scerevisiae	3377_151876	t	1
Cglabrata	452_141152	t	Cglabrata	454_128037	t	1
Tdelbrueckii	1971_133054	h	Tdelbrueckii	3799_27803	t	1
Tphaffii	1971_133049	h	Tphaffii	3799_27815	t	1
Ndairenensis	1971_133047	h	Ndairenensis	3799_27836	t	1
Ncastellii	1971_133046	h	Ncastellii	3799_27835	t	1
Kafricana	1971_133044	h	Kafricana	3799_27812	t	1
Cglabrata	1971_133039	h	Cglabrata	3799_27845	t	1
Zrouxii	1971_133035	h	Zrouxii	3799_27802	t	1
Egossypii	1971_133029	h	Egossypii	3799_27794	t	1
Ecymbalariae	1971_133028	h	Ecymbalariae	3799_27793	t	1
Lkluyveri	1971_133025	h	Lkluyveri	3799_27785	t	1
Lthermotolerans	1971_133024	h	Lthermotolerans	3799_27789	t	1
Ecymbalariae	2695_195343	h	Ecymbalariae	2712_210452	h	1
Knaganishii	658_40413	h	Knaganishii	669_177467	t	1
Tblattae	2878_127828	t	Tblattae	2880_37402	t	1
Ncastellii	2878_127824	t	Ncastellii	2880_37398	t	1
Knaganishii	2878_127822	t	Knaganishii	2880_37396	t	1
Kafricana	2878_127821	t	Kafricana	2880_37395	t	1
Cglabrata	2878_127817	t	Cglabrata	2880_37391	t	1
Klactis	2966_234385	t	Klactis	4705_19574	h	1
Egossypii	2966_234378	t	Egossypii	4705_19564	h	1
Lthermotolerans	2966_234373	t	Lthermotolerans	4705_19559	h	1
Knaganishii	1041_186561	h	Knaganishii	4859_41404	h	1
Ndairenensis	1041_186535	h	Ndairenensis	4859_41407	h	1
Ncastellii	1041_186532	h	Ncastellii	4859_41406	h	1
Kafricana	1041_186530	h	Kafricana	4859_41403	h	1
Cglabrata	1810_234965	t	Cglabrata	1811_43288	t	1
Kafricana	1810_234953	t	Kafricana	1811_43292	t	1
Scerevisiae	1810_234948	t	Scerevisiae	1811_43289	t	1
Ndairenensis	1810_234941	t	Ndairenensis	1811_43296	t	1
Ncastellii	1810_234940	t	Ncastellii	1811_43295	t	1
Knaganishii	1810_234938	t	Knaganishii	1811_43293	t	1
Tphaffii	2704_209438	h	Tphaffii	3052_9042	h	1
Tblattae	4425_98335	h	Tblattae	4889_197356	t	1
Tblattae	2399_124580	t	Tblattae	4973_121735	t	1
Tphaffii	2399_124579	t	Tphaffii	4973_121734	t	1
Tdelbrueckii	2399_124565	t	Tdelbrueckii	4973_121712	t	1
Zrouxii	2399_124564	t	Zrouxii	4973_121711	t	1
node_5	2399_124563	t	node_5	4973_121710	t	1
Egossypii	2399_124561	t	Egossypii	4973_121707	t	1
Ecymbalariae	2399_124560	t	Ecymbalariae	4973_121706	t	1
Lkluyveri	2399_124556	t	Lkluyveri	4973_121703	t	1
Lthermotolerans	2399_124555	t	Lthermotolerans	4973_121702	t	1
Klactis	2399_124552	t	Klactis	4973_121708	t	1
Ndairenensis	622_211500	t	Ndairenensis	4932_230224	t	1
Ncastellii	622_211499	t	Ncastellii	4932_230223	t	1
node_11	622_211498	t	node_11	4932_230222	t	1
Knaganishii	622_211497	t	Knaganishii	4932_230221	t	1
Kafricana	622_211496	t	Kafricana	4932_230220	t	1
node_10	622_211495	t	node_10	4932_230219	t	1
Scerevisiae	622_211493	t	Scerevisiae	4932_230197	t	1
Cglabrata	622_211492	t	Cglabrata	4932_230217	t	1
Tphaffii	1027_107221	h	Tphaffii	1028_3886	t	1
Ncastellii	1027_107218	h	Ncastellii	1028_3883	t	1
Tdelbrueckii	1027_107202	h	Tdelbrueckii	1028_3872	t	1
Zrouxii	1027_107201	h	Zrouxii	1028_3871	t	1
node_5	1027_107200	h	node_5	1028_3870	t	1
Tblattae	1742_44021	h	Tblattae	4898_27459	h	1
Tdelbrueckii	1059_191986	t	Tdelbrueckii	4447_27472	t	1
Zrouxii	1059_191985	t	Zrouxii	4447_27471	t	1
Lthermotolerans	1059_191962	t	Lthermotolerans	4447_27463	t	1
Tblattae	1779_202933	t	Tblattae	4269_79665	t	1
Tphaffii	4223_160585	t	Tphaffii	4621_40928	h	1
Lthermotolerans	4223_160562	t	Lthermotolerans	4621_40901	h	1
Knaganishii	2703_31720	t	Knaganishii	3458_41771	h	1
Tphaffii	100_216968	t	Tphaffii	4009_9535	h	1
Klactis	2197_60282	h	Klactis	4495_178176	h	1
Knaganishii	380_182247	h	Knaganishii	4337_233872	h	1
Tphaffii	4034_191005	t	Tphaffii	4035_65726	h	1
Scerevisiae	4034_191002	t	Scerevisiae	4035_65748	h	1
Tdelbrueckii	4034_190996	t	Tdelbrueckii	4035_65741	h	1
Zrouxii	4034_190995	t	Zrouxii	4035_65753	h	1
Knaganishii	4034_190989	t	Knaganishii	4035_65709	h	1
Kafricana	4034_190988	t	Kafricana	4035_65734	h	1
Cglabrata	4034_190985	t	Cglabrata	4035_65723	h	1
Egossypii	4034_190976	t	Egossypii	4035_65697	h	1
Lkluyveri	4034_190971	t	Lkluyveri	4035_65693	h	1
Klactis	4034_190967	t	Klactis	4035_65698	h	1
Ndairenensis	2356_48037	h	Ndairenensis	2357_134498	t	1
Ncastellii	2356_48036	h	Ncastellii	2357_134497	t	1
Knaganishii	2356_48034	h	Knaganishii	2357_134495	t	1
Kafricana	2356_48033	h	Kafricana	2357_134488	t	1
Scerevisiae	2356_48030	h	Scerevisiae	2357_134483	t	1
Cglabrata	2356_48015	h	Cglabrata	2357_134482	t	1
Kafricana	1839_213473	t	Kafricana	1847_41528	h	1
Ndairenensis	1681_82123	h	Ndairenensis	3549_38648	t	1
Scerevisiae	4081_85184	h	Scerevisiae	4082_233128	h	1
Cglabrata	4081_85183	h	Cglabrata	4082_233127	h	1
Tblattae	4081_85178	h	Tblattae	4082_233121	h	1
Tphaffii	4081_85177	h	Tphaffii	4082_233120	h	1
node_12	4081_85176	h	node_12	4082_233119	h	1
Ndairenensis	4081_85175	h	Ndairenensis	4082_233118	h	1
Ncastellii	4081_85174	h	Ncastellii	4082_233117	h	1
node_11	4081_85173	h	node_11	4082_233116	h	1
Kafricana	4081_85172	h	Kafricana	4082_233088	h	1
node_6	4081_85153	h	node_6	4082_233110	h	1
Tdelbrueckii	4081_85152	h	Tdelbrueckii	4082_233109	h	1
Zrouxii	4081_85151	h	Zrouxii	4082_233108	h	1
node_5	4081_85150	h	node_5	4082_233107	h	1
Klactis	4081_85148	h	Klactis	4082_233078	h	1
Egossypii	4081_85147	h	Egossypii	4082_233100	h	1
Lkluyveri	4081_85143	h	Lkluyveri	4082_233105	h	1
Lthermotolerans	4081_85142	h	Lthermotolerans	4082_233095	h	1
Tphaffii	1300_187123	t	Tphaffii	2162_15697	t	1
Tphaffii	1759_79323	h	Tphaffii	1762_154116	t	1
Tblattae	1759_79312	h	Tblattae	1762_154117	t	1
Scerevisiae	3155_80817	t	Scerevisiae	3156_147927	t	1
Cglabrata	3155_80816	t	Cglabrata	3156_147926	t	1
Cglabrata	384_96070	h	Cglabrata	3537_209595	t	1
Scerevisiae	384_96058	h	Scerevisiae	3537_209596	t	1
Knaganishii	2916_41475	h	Knaganishii	4789_157492	t	1
Tblattae	2916_41464	h	Tblattae	4789_157477	t	1
Ndairenensis	2916_41461	h	Ndairenensis	4789_157474	t	1
Ncastellii	2916_41460	h	Ncastellii	4789_157470	t	1
node_11	2916_41459	h	node_11	4789_157468	t	1
Ndairenensis	2916_41450	h	Ndairenensis	4789_157473	t	1
Ncastellii	2916_41449	h	Ncastellii	4789_157471	t	1
node_11	2916_41448	h	node_11	4789_157468	t	1
Kafricana	2916_41447	h	Kafricana	4789_157467	t	1
Scerevisiae	2916_41443	h	Scerevisiae	4789_157461	t	1
Cglabrata	2916_41442	h	Cglabrata	4789_157511	t	1
Tdelbrueckii	2916_41437	h	Tdelbrueckii	4789_157481	t	1
Zrouxii	2916_41436	h	Zrouxii	4789_157454	t	1
Lkluyveri	2916_41432	h	Lkluyveri	4789_157444	t	1
Egossypii	2916_41427	h	Egossypii	4789_157502	t	1
Ecymbalariae	2916_41426	h	Ecymbalariae	4789_157448	t	1
Klactis	2916_41420	h	Klactis	4789_157449	t	1
Lthermotolerans	2916_41417	h	Lthermotolerans	4789_157497	t	1
Tblattae	822_7382	h	Tblattae	4986_76837	h	1
Knaganishii	106_151201	h	Knaganishii	3995_21599	h	1
Cglabrata	2975_26006	h	Cglabrata	3376_219060	t	1
Tblattae	2975_25989	h	Tblattae	3376_219053	t	1
Tdelbrueckii	2975_25975	h	Tdelbrueckii	3376_219040	t	1
Zrouxii	2975_25974	h	Zrouxii	3376_219039	t	1
Klactis	2975_25971	h	Klactis	3376_219035	t	1
Egossypii	2975_25970	h	Egossypii	3376_219034	t	1
Ecymbalariae	2975_25969	h	Ecymbalariae	3376_219033	t	1
node_3	2975_25968	h	node_3	3376_219032	t	1
node_2	2975_25967	h	node_2	3376_219031	t	1
Lkluyveri	2975_25966	h	Lkluyveri	3376_219030	t	1
Lthermotolerans	2975_25965	h	Lthermotolerans	3376_219029	t	1
node_1	2975_25964	h	node_1	3376_219028	t	1
node_0	2975_25963	h	node_0	3376_219027	t	1
Tphaffii	4827_65907	t	Tphaffii	4828_72406	t	1
Ndairenensis	4827_65904	t	Ndairenensis	4828_72379	t	1
Ncastellii	4827_65903	t	Ncastellii	4828_72378	t	1
Knaganishii	4827_65901	t	Knaganishii	4828_72403	t	1
Kafricana	4827_65900	t	Kafricana	4828_72388	t	1
Scerevisiae	4827_65897	t	Scerevisiae	4828_72374	t	1
Cglabrata	4827_65889	t	Cglabrata	4828_72383	t	1
Tdelbrueckii	4827_65882	t	Tdelbrueckii	4828_72368	t	1
Zrouxii	4827_65881	t	Zrouxii	4828_72395	t	1
Klactis	4827_65878	t	Klactis	4828_72363	t	1
Egossypii	4827_65877	t	Egossypii	4828_72358	t	1
Ecymbalariae	4827_65876	t	Ecymbalariae	4828_72357	t	1
Lkluyveri	4827_65873	t	Lkluyveri	4828_72353	t	1
Lthermotolerans	4827_65872	t	Lthermotolerans	4828_72352	t	1
Tphaffii	876_191375	h	Tphaffii	887_140509	t	1
Ncastellii	876_191372	h	Ncastellii	887_140506	t	1
Knaganishii	876_191369	h	Knaganishii	887_140504	t	1
Kafricana	876_191368	h	Kafricana	887_140503	t	1
node_10	876_191367	h	node_10	887_140502	t	1
node_9	876_191366	h	node_9	887_140501	t	1
Cglabrata	876_191365	h	Cglabrata	887_140499	t	1
node_7	876_191362	h	node_7	887_140497	t	1
Tdelbrueckii	876_191360	h	Tdelbrueckii	887_140495	t	1
Zrouxii	876_191359	h	Zrouxii	887_140494	t	1
Tblattae	876_191356	h	Tblattae	887_140510	t	1
Ndairenensis	876_191353	h	Ndairenensis	887_140507	t	1
Scerevisiae	876_191348	h	Scerevisiae	887_140500	t	1
Klactis	876_191340	h	Klactis	887_140491	t	1
Egossypii	876_191339	h	Egossypii	887_140490	t	1
Ecymbalariae	876_191338	h	Ecymbalariae	887_140489	t	1
node_3	876_191337	h	node_3	887_140488	t	1
node_2	876_191336	h	node_2	887_140487	t	1
Lkluyveri	876_191335	h	Lkluyveri	887_140486	t	1
Lthermotolerans	876_191334	h	Lthermotolerans	887_140485	t	1
node_1	876_191333	h	node_1	887_140484	t	1
node_0	876_191332	h	node_0	887_140483	t	1
Tblattae	2059_171897	h	Tblattae	2060_215976	h	1
Cglabrata	2059_171894	h	Cglabrata	2060_215962	h	1
Tphaffii	2059_171886	h	Tphaffii	2060_215975	h	1
Ncastellii	2695_195395	t	Ncastellii	2732_22430	h	1
Tblattae	2695_195386	t	Tblattae	2732_22434	h	1
Ndairenensis	2695_195383	t	Ndairenensis	2732_22431	h	1
Kafricana	2695_195380	t	Kafricana	2732_22441	h	1
Tdelbrueckii	2695_195364	t	Tdelbrueckii	2732_22421	h	1
Zrouxii	2695_195363	t	Zrouxii	2732_22420	h	1
Tphaffii	2695_195360	t	Tphaffii	2732_22444	h	1
Knaganishii	2695_195357	t	Knaganishii	2732_22442	h	1
Egossypii	2695_195344	t	Egossypii	2732_22416	h	1
Ecymbalariae	2695_195343	t	Ecymbalariae	2732_22415	h	1
Lkluyveri	2695_195339	t	Lkluyveri	2732_22412	h	1
Klactis	2695_195335	t	Klactis	2732_22417	h	1
Lthermotolerans	2695_195332	t	Lthermotolerans	2732_22411	h	1
Tblattae	1466_226046	t	Tblattae	1468_164572	h	1
Scerevisiae	661_87441	t	Scerevisiae	675_96027	h	1
Cglabrata	661_87440	t	Cglabrata	675_96026	h	1
Cglabrata	2290_82320	t	Cglabrata	2399_124569	t	1
Tdelbrueckii	129_116314	h	Tdelbrueckii	1355_10287	t	1
Zrouxii	129_116313	h	Zrouxii	1355_10286	t	1
Egossypii	129_116309	h	Egossypii	1355_10268	t	1
Ecymbalariae	129_116308	h	Ecymbalariae	1355_10267	t	1
Lkluyveri	129_116305	h	Lkluyveri	1355_10264	t	1
Lthermotolerans	129_116304	h	Lthermotolerans	1355_10263	t	1
Scerevisiae	1704_36331	h	Scerevisiae	4342_109832	h	1
Tblattae	1704_36313	h	Tblattae	4342_109826	h	1
Egossypii	1704_36283	h	Egossypii	4342_109847	h	1
Ecymbalariae	1704_36282	h	Ecymbalariae	4342_109846	h	1
node_3	1704_36281	h	node_3	4342_109845	h	1
Lkluyveri	1704_36279	h	Lkluyveri	4342_109842	h	1
Lthermotolerans	1704_36278	h	Lthermotolerans	4342_109841	h	1
node_1	1704_36277	h	node_1	4342_109840	h	1
Cglabrata	2482_85891	h	Cglabrata	4591_198155	h	1
Tblattae	3204_210404	h	Tblattae	4503_87708	t	1
Tphaffii	3204_210403	h	Tphaffii	4503_87707	t	1
Ncastellii	2107_194436	h	Ncastellii	3087_82537	t	1
Knaganishii	2306_76312	h	Knaganishii	2565_82480	t	1
Kafricana	2306_76311	h	Kafricana	2565_82490	t	1
Zrouxii	2306_76301	h	Zrouxii	2565_82508	t	1
Lkluyveri	2306_76295	h	Lkluyveri	2565_82463	t	1
Tblattae	1682_25822	t	Tblattae	2169_83380	h	1
Ndairenensis	2577_89830	h	Ndairenensis	2581_93928	t	1
Scerevisiae	3945_114800	h	Scerevisiae	3946_135122	h	1
Zrouxii	3945_114794	h	Zrouxii	3946_135117	h	1
Tphaffii	3945_114790	h	Tphaffii	3946_135129	h	1
Ndairenensis	3945_114787	h	Ndairenensis	3946_135127	h	1
Ncastellii	3945_114786	h	Ncastellii	3946_135126	h	1
Tdelbrueckii	3945_114741	h	Tdelbrueckii	3946_135104	h	1
Klactis	3945_114735	h	Klactis	3946_135099	h	1
Egossypii	3945_114734	h	Egossypii	3946_135092	h	1
Lkluyveri	3945_114730	h	Lkluyveri	3946_135096	h	1
Lthermotolerans	3945_114729	h	Lthermotolerans	3946_135095	h	1
node_1	3945_114728	h	node_1	3946_135094	h	1
Tblattae	1233_61447	t	Tblattae	4903_97070	h	1
Klactis	1233_61428	t	Klactis	4903_97051	h	1
Klactis	1265_21359	t	Klactis	4871_225244	t	1
Ecymbalariae	1265_21357	t	Ecymbalariae	4871_225242	t	1
Lkluyveri	1265_21354	t	Lkluyveri	4871_225239	t	1
Tblattae	3064_161790	h	Tblattae	3066_13749	h	1
Ndairenensis	3064_161787	h	Ndairenensis	3066_13746	h	1
Ncastellii	3064_161786	h	Ncastellii	3066_13745	h	1
node_11	3064_161785	h	node_11	3066_13744	h	1
Knaganishii	3064_161784	h	Knaganishii	3066_13743	h	1
Kafricana	3064_161783	h	Kafricana	3066_13742	h	1
node_10	3064_161782	h	node_10	3066_13741	h	1
node_9	3064_161781	h	node_9	3066_13740	h	1
Scerevisiae	3064_161780	h	Scerevisiae	3066_13739	h	1
Cglabrata	3064_161779	h	Cglabrata	3066_13738	h	1
node_8	3064_161778	h	node_8	3066_13737	h	1
node_7	3064_161777	h	node_7	3066_13736	h	1
Tdelbrueckii	3064_161775	h	Tdelbrueckii	3066_13734	h	1
Zrouxii	3064_161774	h	Zrouxii	3066_13733	h	1
node_5	3064_161773	h	node_5	3066_13732	h	1
node_4	3064_161772	h	node_4	3066_13731	h	1
Klactis	3064_161771	h	Klactis	3066_13730	h	1
Egossypii	3064_161770	h	Egossypii	3066_13729	h	1
Ecymbalariae	3064_161769	h	Ecymbalariae	3066_13728	h	1
node_3	3064_161768	h	node_3	3066_13727	h	1
node_2	3064_161767	h	node_2	3066_13726	h	1
Lkluyveri	3064_161766	h	Lkluyveri	3066_13725	h	1
Lthermotolerans	3064_161765	h	Lthermotolerans	3066_13724	h	1
node_1	3064_161764	h	node_1	3066_13723	h	1
node_0	3064_161763	h	node_0	3066_13722	h	1
Tphaffii	1112_139721	h	Tphaffii	4147_92605	t	1
Ndairenensis	1112_139719	h	Ndairenensis	4147_92592	t	1
Ncastellii	1112_139718	h	Ncastellii	4147_92591	t	1
Knaganishii	1112_139710	h	Knaganishii	4147_92573	t	1
Tdelbrueckii	1112_139699	h	Tdelbrueckii	4147_92581	t	1
Zrouxii	1112_139698	h	Zrouxii	4147_92580	t	1
Klactis	1112_139685	h	Klactis	4147_92560	t	1
Lkluyveri	1112_139680	h	Lkluyveri	4147_92555	t	1
Lthermotolerans	1112_139679	h	Lthermotolerans	4147_92554	t	1
node_1	1112_139678	h	node_1	4147_92553	t	1
Tblattae	2201_88883	t	Tblattae	2202_83763	t	1
Scerevisiae	2201_88873	t	Scerevisiae	2202_83770	t	1
Cglabrata	2201_88872	t	Cglabrata	2202_83769	t	1
Ecymbalariae	2083_230318	h	Ecymbalariae	2085_103445	h	1
Tdelbrueckii	292_135646	t	Tdelbrueckii	2780_151350	t	1
Zrouxii	292_135645	t	Zrouxii	2780_151349	t	1
Klactis	292_135642	t	Klactis	2780_151345	t	1
Egossypii	292_135641	t	Egossypii	2780_151344	t	1
Ecymbalariae	292_135640	t	Ecymbalariae	2780_151343	t	1
node_3	292_135639	t	node_3	2780_151342	t	1
node_2	292_135638	t	node_2	2780_151341	t	1
Lkluyveri	292_135637	t	Lkluyveri	2780_151340	t	1
Lthermotolerans	292_135636	t	Lthermotolerans	2780_151339	t	1
node_1	292_135635	t	node_1	2780_151338	t	1
Ncastellii	869_200420	t	Ncastellii	1861_234899	t	1
Tblattae	4566_28934	h	Tblattae	4699_63294	t	1
Tphaffii	4566_28933	h	Tphaffii	4699_63293	t	1
Lthermotolerans	4566_28886	h	Lthermotolerans	4699_63270	t	1
Tdelbrueckii	1706_170005	t	Tdelbrueckii	4344_117640	h	1
Zrouxii	1706_170004	t	Zrouxii	4344_117644	h	1
Klactis	1706_170001	t	Klactis	4344_117619	h	1
Egossypii	1706_170000	t	Egossypii	4344_117629	h	1
Lkluyveri	1706_169996	t	Lkluyveri	4344_117624	h	1
Lthermotolerans	1706_169995	t	Lthermotolerans	4344_117634	h	1
Scerevisiae	3968_9367	t	Scerevisiae	3969_10895	h	1
Cglabrata	3205_230300	h	Cglabrata	4508_96553	h	1
Tphaffii	611_214378	t	Tphaffii	4417_191515	h	1
Lkluyveri	611_214335	t	Lkluyveri	4417_191504	h	1
Klactis	611_214314	t	Klactis	4417_191500	h	1
Ecymbalariae	611_214312	t	Ecymbalariae	4417_191508	h	1
Ncastellii	251_117191	h	Ncastellii	252_130593	h	1
Scerevisiae	251_117187	h	Scerevisiae	252_130599	h	1
Tdelbrueckii	251_117170	h	Tdelbrueckii	252_130582	h	1
Zrouxii	251_117169	h	Zrouxii	252_130581	h	1
node_5	251_117168	h	node_5	252_130580	h	1
Klactis	251_117166	h	Klactis	252_130569	h	1
Egossypii	251_117165	h	Egossypii	252_130578	h	1
Ecymbalariae	251_117164	h	Ecymbalariae	252_130577	h	1
Lkluyveri	251_117161	h	Lkluyveri	252_130573	h	1
Knaganishii	1665_84424	t	Knaganishii	3005_119977	t	1
Knaganishii	615_123167	t	Knaganishii	4923_171543	t	1
Kafricana	615_123166	t	Kafricana	4923_171510	t	1
Scerevisiae	615_123163	t	Scerevisiae	4923_171525	t	1
Cglabrata	615_123162	t	Cglabrata	4923_171489	t	1
Egossypii	615_123153	t	Egossypii	4923_171497	t	1
Ecymbalariae	615_123152	t	Ecymbalariae	4923_171496	t	1
Lkluyveri	615_123149	t	Lkluyveri	4923_171516	t	1
Lthermotolerans	615_123148	t	Lthermotolerans	4923_171515	t	1
Scerevisiae	310_228935	h	Scerevisiae	1316_95297	h	1
Lthermotolerans	4036_212202	t	Lthermotolerans	4857_4242	h	1
Tblattae	2293_219427	h	Tblattae	2294_54392	h	1
Tphaffii	2293_219426	h	Tphaffii	2294_54383	h	1
Ndairenensis	2293_219424	h	Ndairenensis	2294_54380	h	1
Ncastellii	2293_219423	h	Ncastellii	2294_54379	h	1
Tphaffii	2293_219415	h	Tphaffii	2294_54403	h	1
Tdelbrueckii	2293_219402	h	Tdelbrueckii	2294_54407	h	1
Zrouxii	2293_219401	h	Zrouxii	2294_54387	h	1
Ndairenensis	2621_226165	h	Ndairenensis	2622_60911	h	1
Scerevisiae	2621_226160	h	Scerevisiae	2622_60895	h	1
Tblattae	2621_226154	h	Tblattae	2622_60914	h	1
Tphaffii	2621_226153	h	Tphaffii	2622_60913	h	1
Ncastellii	2621_226151	h	Ncastellii	2622_60910	h	1
Kafricana	2621_226148	h	Kafricana	2622_60908	h	1
Tdelbrueckii	2621_226138	h	Tdelbrueckii	2622_60889	h	1
Knaganishii	2621_226134	h	Knaganishii	2622_60900	h	1
Zrouxii	2621_226125	h	Zrouxii	2622_60888	h	1
Klactis	2621_226120	h	Klactis	2622_60885	h	1
Egossypii	2621_226119	h	Egossypii	2622_60884	h	1
Ecymbalariae	2621_226118	h	Ecymbalariae	2622_60883	h	1
node_3	2621_226117	h	node_3	2622_60882	h	1
node_2	2621_226116	h	node_2	2622_60881	h	1
Lkluyveri	2621_226115	h	Lkluyveri	2622_60880	h	1
Lthermotolerans	2621_226114	h	Lthermotolerans	2622_60879	h	1
node_1	2621_226113	h	node_1	2622_60878	h	1
node_0	2621_226112	h	node_0	2622_60877	h	1
Ncastellii	300_59100	h	Ncastellii	3647_17718	t	1
Tphaffii	2730_22255	t	Tphaffii	2733_10864	h	1
Tphaffii	1043_148267	t	Tphaffii	2394_50139	h	1
Tblattae	185_3527	h	Tblattae	1397_227815	h	1
Tphaffii	185_3526	h	Tphaffii	1397_227814	h	1
node_12	185_3525	h	node_12	1397_227813	h	1
Ndairenensis	185_3524	h	Ndairenensis	1397_227830	h	1
Ncastellii	185_3523	h	Ncastellii	1397_227829	h	1
Knaganishii	185_3521	h	Knaganishii	1397_227827	h	1
Kafricana	185_3520	h	Kafricana	1397_227826	h	1
Cglabrata	185_3516	h	Cglabrata	1397_227812	h	1
node_6	185_3513	h	node_6	1397_227807	h	1
Tdelbrueckii	185_3512	h	Tdelbrueckii	1397_227806	h	1
Zrouxii	185_3511	h	Zrouxii	1397_227805	h	1
node_5	185_3510	h	node_5	1397_227804	h	1
Klactis	185_3508	h	Klactis	1397_227801	h	1
Egossypii	185_3507	h	Egossypii	1397_227800	h	1
Ecymbalariae	185_3506	h	Ecymbalariae	1397_227799	h	1
node_3	185_3505	h	node_3	1397_227798	h	1
node_2	185_3504	h	node_2	1397_227797	h	1
Lkluyveri	185_3503	h	Lkluyveri	1397_227796	h	1
Lthermotolerans	185_3502	h	Lthermotolerans	1397_227795	h	1
node_1	185_3501	h	node_1	1397_227794	h	1
node_0	185_3500	h	node_0	1397_227793	h	1
Cglabrata	4707_42497	h	Cglabrata	4712_69634	t	1
Ndairenensis	1061_162071	h	Ndairenensis	1062_91054	t	1
Tdelbrueckii	1061_162063	h	Tdelbrueckii	1062_91022	t	1
Tphaffii	1061_162059	h	Tphaffii	1062_91027	t	1
Zrouxii	1061_162048	h	Zrouxii	1062_91018	t	1
Klactis	1061_162043	h	Klactis	1062_91002	t	1
Scerevisiae	1061_162037	h	Scerevisiae	1062_91049	t	1
Cglabrata	1061_162036	h	Cglabrata	1062_91035	t	1
Egossypii	1061_162028	h	Egossypii	1062_91011	t	1
Ecymbalariae	1061_162027	h	Ecymbalariae	1062_91010	t	1
